smiles,carcino,dili,genotox
Nc1ccc(-c2ccc(N)c(Cl)c2)cc1Cl,1.0,,1.0
CC(=O)Nc1ccc(-c2ccc(F)cc2)cc1,1.0,,
COc1cc(-c2ccc(N)c(OC)c2)ccc1N,1.0,,
Clc1cccc(-c2cccc(Cl)c2)c1,1.0,,
Oc1ccccc1-c1ccccc1,1.0,,
Cc1cc(-c2ccc(N)c(C)c2)ccc1N,1.0,,
COc1cc(-c2ccc(N=C=O)c(OC)c2)ccc1N=C=O,1.0,,
Clc1cccc(-c2cc(Cl)cc(Cl)c2)c1,1.0,,
CC(=O)Nc1ccc(-c2ccccc2)cc1,1.0,,
c1ccc(-c2ccccc2)cc1,1.0,,
O=C1c2ccccc2C(=O)c2c(O)c(O)cc(O)c21,1.0,,
O=C1c2ccccc2C(=O)c2c(O)cccc21,1.0,,
Cc1ccc2c(c1[N+](=O)[O-])C(=O)c1ccccc1C2=O,1.0,,
Nc1ccc(N)c2c1C(=O)c1c(N)ccc(N)c1C2=O,1.0,,0.0
O=C1c2cccc(O)c2C(=O)c2c(O)cccc21,1.0,0.0,0.0
O=C1c2ccccc2C(=O)c2ccccc21,1.0,,1.0
Nc1ccc2c(c1)C(=O)c1ccccc1C2=O,1.0,,
Nc1c(Br)cc(Br)c2c1C(=O)c1ccccc1C2=O,1.0,,
Cc1ccc2c(c1N)C(=O)c1ccccc1C2=O,1.0,,
O=CNNc1nc(-c2ccc([N+](=O)[O-])o2)cs1,1.0,,
O=C(Nc1nc(-c2ccc([N+](=O)[O-])o2)cs1)C(F)(F)F,1.0,,
CC(=O)Nc1nc(-c2ccc([N+](=O)[O-])o2)cs1,1.0,,
NNc1nc(-c2ccc([N+](=O)[O-])o2)cs1,1.0,,
O=[N+]([O-])c1ccc(-c2cscn2)o1,1.0,,
CN(C)Nc1nc(-c2ccc([N+](=O)[O-])o2)cs1,1.0,,
Nc1nc(-c2ccc([N+](=O)[O-])o2)cs1,1.0,,
O=CNc1nc(-c2ccc([N+](=O)[O-])o2)cs1,1.0,,
CCCCOCCOCCOCc1cc2c(cc1CCC)OCO2,1.0,,
Oc1ccc2c(c1)OCO2,1.0,,
CCCc1ccc2c(c1)OCO2,1.0,,
C=CC(OC(C)=O)c1ccc2c(c1)OCO2,1.0,,
CC=Cc1ccc2c(c1)OCO2,1.0,,
C=CC(O)c1ccc2c(c1)OCO2,1.0,,
C=CCc1ccc2c(c1)OCO2,1.0,,
CN(C)c1ccc(Cc2ccc(N(C)C)cc2)cc1,1.0,,
C#CC(OC(N)=O)(c1ccccc1)c1ccc(Cl)cc1,1.0,,
Cc1cc(Cc2ccc(N)c(C)c2)ccc1N,1.0,,
CCC(OC(C)=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,1.0,,
Nc1ccc(Cc2ccc(N)cc2)cc1,1.0,,
Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,1.0,0.0,
CN(C)N=Nc1[nH]cnc1C(N)=O,1.0,1.0,
CN(N=O)C(=O)c1c(N(C)N=O)ncn1C,1.0,,
Cc1ncc([N+](=O)[O-])n1C,1.0,,
Cc1ncc[nH]1,1.0,,1.0
Cc1ncc([N+](=O)[O-])n1CCO,1.0,,1.0
CNC(=O)c1c(N(C)N=O)ncn1C,1.0,,
ClCc1cccnc1,1.0,,0.0
CN(CCCC(=O)c1cccnc1)N=O,1.0,,0.0
c1ccncc1,1.0,,0.0
CN(CCCC(O)c1cccnc1)N=O,1.0,,
NNC(=O)c1ccncc1,1.0,1.0,
CN(N=O)c1ccccn1,1.0,,
c1ccc(N=Nc2ccccc2)cc1,1.0,,
CN(C)c1ccc(N=Nc2ccccc2)cc1,1.0,,1.0
Cc1cccc(N=Nc2ccc(N(C)C)cc2)c1,1.0,,
Cc1cc(N=Nc2ccccc2C)ccc1N,1.0,,
CC(=O)Nc1ccc(N=Nc2cc(C)ccc2O)cc1,1.0,,0.0
CC(=O)Nc1ccc2c(c1)Cc1ccccc1-2,1.0,,
CC(=O)N(C(C)=O)c1cccc2c1Cc1ccccc1-2,1.0,,
CC(=O)N(O)c1ccc2c(c1)Cc1ccccc1-2,1.0,,
O=[N+]([O-])c1ccc2c(c1)Cc1ccccc1-2,1.0,,
O=C(Nc1ccc2c(c1)Cc1ccccc1-2)C(F)(F)F,1.0,,
CNC(=O)Oc1cccc2ccccc12,1.0,0.0,
Nc1ccc2ccccc2c1,1.0,,1.0
Nc1cccc2c(N)cccc12,1.0,,
c1ccc2ccccc2c1,1.0,,0.0
ClCCN(CCCl)c1ccc2ccccc2c1,1.0,,
Nc1nc(N)nc(N)n1,1.0,,0.0
CCNc1nc(Cl)nc(NC(C)C)n1,1.0,,0.0
CCNc1nc(Cl)nc(NC(C)(C)C#N)n1,1.0,,
OCN(CO)c1nc(N(CO)CO)nc(N(CO)CO)n1,1.0,,
O=Cc1ccco1,1.0,,
NC(=O)NN=Cc1ccc([N+](=O)[O-])o1,1.0,0.0,0.0
OCc1ccco1,1.0,,0.0
c1ccoc1,1.0,0.0,0.0
Cc1ccc(NN=C2C(=O)C=Cc3ccccc32)c([N+](=O)[O-])c1,1.0,,
Cc1cc(C)c(NN=C2C(=O)C(S(=O)(=O)O)=Cc3cc(S(=O)(=O)O)ccc32)cc1C,1.0,,
Cc1ccc(NN=C2C(=O)C(S(=O)(=O)O)=Cc3ccc(S(=O)(=O)O)cc32)c(C)c1,1.0,,
O=C1C=Cc2ccccc2C1=NNc1ccccc1,1.0,,
Cc1cc(=O)[nH]c(=S)[nH]1,1.0,,
CCCc1cc(=O)[nH]c(=S)[nH]1,1.0,1.0,
O=c1cc[nH]c(=S)[nH]1,1.0,,
Nc1ccc(Oc2ccc(N)cc2)cc1,1.0,,1.0
O=[N+]([O-])c1ccc(Oc2ccc(Cl)cc2Cl)cc1,1.0,,
Nc1ccc(Oc2ccc(Cl)cc2)cc1,1.0,,
CC1CC(=O)O1,1.0,,
CC1(C)COC1=O,1.0,,
O=C1CCO1,1.0,,
CCNC(=O)Nc1ncc([N+](=O)[O-])s1,1.0,,
Nc1ncc([N+](=O)[O-])s1,1.0,,
Cc1csc(NNC=O)n1,1.0,,
Nc1cc(S(=O)(=O)O)cc2c1C(=O)C(=NNc1ccc(-c3ccc(NN=C4C(=O)c5c(N)cc(S(=O)(=O)O)cc5C=C4S(=O)(=O)O)cc3)cc1)C(S(=O)(=O)O)=C2,1.0,,
Nc1cc(S(=O)(=O)O)cc2c1C(=O)C(=NNc1ccc(-c3ccc(NN=C4C(=O)c5c(N)cc(S(=O)(=O)O)cc5C=C4S(=O)(=O)O)c(O)c3)cc1O)C(S(=O)(=O)O)=C2,1.0,,
COc1cc(-c2ccc(NN=C3C(=O)c4c(N)cc(S(=O)(=O)O)cc4C=C3S(=O)(=O)O)c(OC)c2)ccc1NN=C1C(=O)c2c(N)cc(S(=O)(=O)O)cc2C=C1S(=O)(=O)O,1.0,,
COP(=O)(OC)N1CCOCC1,1.0,,
CC1CN(N=O)CC(C)O1,1.0,,
O=NN1CCOCC1,1.0,,1.0
ClCC1CO1,1.0,,0.0
OCC1CO1,1.0,,1.0
CCC1CO1,1.0,,
CC1CN(N=Cc2ccc([N+](=O)[O-])o2)C(=O)N1,1.0,,
O=C1N(CCO)CCN1N=Cc1ccc([N+](=O)[O-])o1,1.0,,
O=C1NCCN1N=Cc1ccc([N+](=O)[O-])o1,1.0,,
O=NN1CCCC1,1.0,,
O=NN1CCC(O)C1,1.0,,
CCCC1OC2CC3C4CCC5=CC(=O)C=CC5(C)C4C(O)CC3(C)C2(C(=O)CO)O1,1.0,0.0,0.0
CC1(C)OC2CC3C4CCC5=CC(=O)C=CC5(C)C4(F)C(O)CC3(C)C2(C(=O)CO)O1,1.0,0.0,
CC1CCCCN1N=O,1.0,,
O=NN1CCCCC1,1.0,,
Cc1cccc(Nc2cc(Cl)nc(SCC(=O)NCCO)n2)c1C,1.0,,
Cc1cccc(Nc2cc(Cl)nc(SCC(=O)O)n2)c1C,1.0,,0.0
COc1cc(O)c2c(=O)c3c(OC)cc4c(c3oc2c1OC)C1C=COC1O4,1.0,,
COc1cc2c(c3oc4cccc(O)c4c(=O)c13)C1C=COC1O2,1.0,,
O=[N+]([O-])c1ccc(-c2nc(N(CCO)CCO)c3ccccc3n2)s1,1.0,,
O=[N+]([O-])c1ccc(-c2nc(NCCO)c3ccccc3n2)s1,1.0,,
CC(=O)OCC=C(C)C=CC=C(C)C=CC1=C(C)CCCC1(C)C,1.0,,
C=C(C)C1CC=C(C)CC1,1.0,1.0,
COc1ccc(OC)c(C=Cc2ccc(N)cc2)c1,1.0,,
CCC(=C(CC)c1ccc(O)cc1)c1ccc(O)cc1,1.0,,1.0
CC(=O)Nc1nc(NC(C)=O)nc(-c2ccc([N+](=O)[O-])o2)n1,1.0,,
Nc1nc(N)nc(-c2ccc([N+](=O)[O-])o2)n1,1.0,,
O=Nc1ccc(Nc2ccccc2)cc1,1.0,,
O=NN(c1ccccc1)c1ccccc1,1.0,,
O=NN(CCCl)C(=O)NC1C(O)OC(CO)C(O)C1O,1.0,,
CN(N=O)C(=O)NC1C(O)OC(CO)C(O)C1O,1.0,0.0,
CC=C(C)C(=O)OC1CCN2CC=C(COC(=O)C(O)(C(C)C)C(C)O)C12,1.0,,
CC=C(C)C(=O)OC1CCN2CC=C(COC(=O)C(O)(C(C)OC)C(C)(C)O)C12,1.0,,
CC1=CC(C)(C)N(N=O)c2ccccc21,1.0,,
CC1=CC(C)(C)Nc2ccccc21,1.0,,
Cc1nc(N)cc2[nH]c3ccccc3c12,1.0,,
Cc1c(N)nc(C)c2c1[nH]c1ccccc12,1.0,,
CC(=O)Nc1nnc(-c2ccc([N+](=O)[O-])o2)s1,1.0,,
Nc1nnc(-c2ccc([N+](=O)[O-])o2)s1,1.0,,
O=C1C2CC=CCC2C(=O)N1SC(Cl)(Cl)C(Cl)Cl,1.0,,
O=C1C2CC=CCC2C(=O)N1SC(Cl)(Cl)Cl,1.0,,
O=C1C(S(=O)(=O)O)=Cc2cc(S(=O)(=O)O)ccc2C1=NNc1ccc(S(=O)(=O)O)c2ccccc12,1.0,,
O=C1C=Cc2cc(S(=O)(=O)O)cc(S(=O)(=O)O)c2C1=NNc1ccc(S(=O)(=O)O)c2ccccc12,1.0,,
C#CC1(OC(C)=O)CCC2C3CCC4=CC(=O)CCC4C3CCC21C,1.0,0.0,
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21C,1.0,1.0,0.0
Clc1cc2c(cc1Cl)Oc1cc(Cl)c(Cl)cc1O2,1.0,,
Clc1cc2c(c(Cl)c1Cl)Oc1c(cc(Cl)c(Cl)c1Cl)O2,1.0,,
ClC1(Cl)C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl,1.0,,
ClC1(Cl)C2(Cl)C3C4(Cl)C1(Cl)C1(Cl)C4(Cl)C(Cl)(Cl)C3(Cl)C21Cl,1.0,,
Nc1ccc2c(c1)oc1ccccc12,1.0,,
COc1cc2c(cc1N)oc1ccccc12,1.0,,
CCN(Cc1cccc(S(=O)(=O)O)c1)c1ccc(C(=C2C=CC(=[N+](CC)Cc3cccc(S(=O)(=O)[O-])c3)C=C2)c2ccc(S(=O)(=O)O)cc2)cc1,1.0,,
CCN(Cc1cccc(S(=O)(=O)O)c1)c1ccc(C(=C2C=CC(=[N+](CC)Cc3cccc(S(=O)(=O)[O-])c3)C=C2)c2ccccc2)cc1,1.0,,
CC12CCC3C(CC=C4CC(O)CCC43C)C1CCC2=O,1.0,,
CC(=O)OC1CCC2(C)C(=CCC3C4CCC(=O)C4(C)CCC32)C1,1.0,,
O=NN1CCNCC1,1.0,,
CC1CN(N=O)CC(C)N1C,1.0,,
O=P1(N(CCCl)CCCl)NCCCO1,1.0,1.0,1.0
O=P1(NCCCl)OCCCN1CCCl,1.0,1.0,1.0
C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C,1.0,1.0,0.0
C#CC1(O)CCC2(C)C1(C)CCC1(C)c3ccc(OC)cc3CCC12C,1.0,,
Cc1cccn2c1nc1ccc(N)nc12,1.0,,
Nc1ccc2nc3ccccn3c2n1,1.0,,
CC(=O)Nc1ccc(S(=O)(=O)c2ccc(NC(C)=O)cc2)cc1,1.0,,
Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,1.0,1.0,
NNc1nc(-c2ccc(N)cc2)cs1,1.0,,
NNc1nc(-c2ccc([N+](=O)[O-])cc2)cs1,1.0,,
O=c1ccc2ccccc2o1,1.0,,0.0
O=c1[nH]c(O)cn1N=Cc1ccc([N+](=O)[O-])o1,1.0,1.0,0.0
O=NN1CCCC1c1ccc[n+]([O-])c1,1.0,,
CC(=O)Nc1ccc(NN=C2C=C(C)C=CC2=O)cc1,1.0,,0.0
O=[N+]([O-])c1ccc(-c2cnc3ccccn23)o1,1.0,,
S=c1[nH]c2ccccc2s1,1.0,,0.0
O=C1OC(CN2CCOCC2)CN1N=Cc1ccc([N+](=O)[O-])o1,1.0,,
O=[N+]([O-])c1cc[n+]([O-])c2ccccc12,1.0,,1.0
ON=C1CCCC1,1.0,,
C=CC1=CC(C)C(C)(OC(C)=O)C(=O)OCC2=CC[N+]3(C)CCC(OC1=O)C23[O-],1.0,,
COc1ccc(CN(CCN(C)C)c2ccccn2)cc1,1.0,,0.0
c1ccc(NNc2ccccc2)cc1,1.0,,
COc1cc2c(c3oc(=O)c4c(c13)CCOC4=O)C1C=COC1O2,1.0,,
O=NN1CCCC1c1cccnc1,1.0,,
CC(C)(Oc1ccc(C2CCCc3ccccc32)cc1)C(=O)O,1.0,,
Oc1cc2c(cc1O)C1c3ccc(O)c(O)c3OCC1(O)C2,1.0,,
C1CCOC1,1.0,,
COc1cc2c(c3oc(=O)c4c(c13)CCC4O)C1C=COC1O2,1.0,,
c1cc(OCC2CO2)cc(OCC2CO2)c1,1.0,,1.0
O=C1OC(O)C(C(Cl)Cl)=C1Cl,1.0,,0.0
CN(N=O)C(=O)Nc1nc2ccccc2s1,1.0,,
