stdsmiles_v2,smiles_tautomer,carcino,dili,genotox
COC1CCNC(C[S+]([O-])C2[N]C3CCC(OC(F)F)CC3N2)C1OC,COC1CCNC(C[S+]([O-])C2[N]C3CCC(OC(F)F)CC3N2)C1OC,,1.0,
COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(=O)CO)CC3OC1CC(N)C(O)C(C)O1,COc1cccc2c(O)c3c(c(O)c12)C(=O)C1=C(CC(O)(C(=O)CO)CC1OC1CC(N)C(O)C(C)O1)C3=O,1.0,,1.0
O=C(O)Cc1csc(-c2ccc(Cl)cc2)n1,O=C(O)Cc1csc(-c2ccc(Cl)cc2)n1,,1.0,
CC1C=CC=CC=CC=CC=CC=CC=CC(OC2OC(C)C(O)C(N)C2O)CC2OC(O)(CC(O)CC(O)C(O)CCC(O)CC(O)CC(=O)OC(C)C(C)C1O)CC(O)C2C(=O)O,CC1C=CC=CC=CC=CC=CC=CC=CC(OC2OC(C)C(O)C(N)C2O)CC2OC(O)(CC(O)CC(O)C(O)CCC(O)CC(O)CC(=O)OC(C)C(C)C1O)CC(O)C2C(=O)O,,1.0,
CC(C)CON=O,CC(C)CON=O,1.0,,1.0
CC1CCCC(C)N1CCCC(O)(c1ccccc1)c1ccccn1,CC1CCCC(C)N1CCCC(O)(c1ccccc1)c1ccccn1,0.0,,0.0
CC(C)NCC(O)COc1cccc2ccccc12,CC(C)NCC(O)COc1cccc2ccccc12,0.0,,1.0
CN=C(NC#N)NCCSCc1nc[nH]c1C,CN=C(NC#N)NCCSCc1[nH]cnc1C,0.0,1.0,
N=c1[nH][nH]c(=N)c2ccccc12,Nc1nnc(N)c2ccccc12,,1.0,
COC(=O)CCc1ccc(OCC(O)CNC(C)C)cc1,COC(=O)CCc1ccc(OCC(O)CNC(C)C)cc1,,0.0,
CCNC(=O)CCCC=CCC1C(O)CC(O)C1C=CC(O)CCc1ccccc1,CCNC(=O)CCCC=CCC1C(O)CC(O)C1C=CC(O)CCc1ccccc1,,,0.0
CC(=O)NC1C(N=C(N)N)C=C(C(=O)O)OC1C(O)C(O)CO,CC(=O)NC1C(N=C(N)N)C=C(C(=O)O)OC1C(O)C(O)CO,,0.0,0.0
CC1CS(=O)(=O)CCN1N=Cc1ccc([N+](=O)[O-])o1,CC1CS(=O)(=O)CCN1N=Cc1ccc([N+](=O)[O-])o1,,0.0,1.0
C=CCOc1ccc(CC(=O)O)cc1Cl,C=CCOc1ccc(CC(=O)O)cc1Cl,0.0,1.0,
CC(C(=O)O)c1ccc2oc(-c3ccc(F)cc3)nc2c1,CC(C(=O)O)c1ccc2oc(-c3ccc(F)cc3)nc2c1,,0.0,
Cc1c2ccccc2c(C)c2c1ccc1ccccc12,Cc1c2ccccc2c(C)c2c1ccc1ccccc12,1.0,,1.0
COCC(C)O,COCC(C)O,,,0.0
Cn1c(N)nc2c3cccnc3ccc21,Cn1c(N)nc2c3cccnc3ccc21,1.0,,0.0
O=P(OC(CCl)CCl)(OC(CCl)CCl)OC(CCl)CCl,O=P(OC(CCl)CCl)(OC(CCl)CCl)OC(CCl)CCl,1.0,,
