stdsmiles_v2,smiles_tautomer,carcino,dili,genotox
O=S(=O)(c1cccc2cnccc12)N1CCCNCC1,O=S(=O)(c1cccc2cnccc12)N1CCCNCC1,,1.0,
Cc1ncc(COP(=O)(O)O)c(C=O)c1O,Cc1ncc(COP(=O)(O)O)c(C=O)c1O,,0.0,
Cc1[nH]c(C=C2C(=O)Nc3ccccc32)c(C)c1CCC(=O)O,C=c1c(CCC(=O)O)c(C)[nH]c1=Cc1c(O)[nH]c2ccccc12,,1.0,
OC(c1ccc(Cl)cc1)(c1cncnc1)c1ccccc1Cl,OC(c1ccc(Cl)cc1)(c1cncnc1)c1ccccc1Cl,,,1.0
CC(N)(Cc1ccc(O)cc1)C(=O)O,CC(N)(Cc1ccc(O)cc1)C(=O)O,,0.0,
Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C,Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C,0.0,,0.0
CCCC(CCC)C(=O)O,CCCC(CCC)C(=O)O,1.0,1.0,
COc1ccc([N+](=O)[O-])cc1N,COc1ccc([N+](=O)[O-])cc1N,1.0,,
COC(=O)c1ccccc1C(=O)OC,COC(=O)c1ccccc1C(=O)OC,,,0.0
O=NN1CCOC(O)C1,O=NN1CCOC(O)C1,0.0,,
CNC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(CC(=O)NO)CC(C)C,CNC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(CC(O)=NO)CC(C)C,,0.0,
CCC(C(=O)O)C1(O)CCCCC1,CCC(C(=O)O)C1(O)CCCCC1,,0.0,
C=CC(=O)O,C=CC(=O)O,0.0,,
O=C(CCBr)N1CCN(C(=O)CCBr)CC1,O=C(CCBr)N1CCN(C(=O)CCBr)CC1,,1.0,
ClCc1ccccn1,ClCc1ccccn1,0.0,,0.0
CCC(=C(c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,CCC(=C(c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,1.0,1.0,
COc1cc(NC(=O)C(N=Nc2ccc(-c3ccc(N=NC(C(C)=O)C(=O)Nc4cc(OC)c(Cl)cc4OC)c(Cl)c3)cc2Cl)C(C)=O)c(OC)cc1Cl,COc1cc(NC(=O)C(=NNc2ccc(-c3ccc(NN=C(C(C)=O)C(=O)Nc4cc(OC)c(Cl)cc4OC)c(Cl)c3)cc2Cl)C(C)=O)c(OC)cc1Cl,0.0,,
C=CCN(CC(C)O)N=O,C=CCN(CC(C)O)N=O,1.0,,
CCC(=C(CC)c1ccc(OP(=O)(O)O)cc1)c1ccc(OP(=O)(O)O)cc1,CCC(=C(CC)c1ccc(OP(=O)(O)O)cc1)c1ccc(OP(=O)(O)O)cc1,,1.0,
NCC1OC(OC2C(N)CC(N)C(OC3OC(CO)C(O)C(N)C3O)C2O)C(N)CC1O,NCC1OC(OC2C(N)CC(N)C(OC3OC(CO)C(O)C(N)C3O)C2O)C(N)CC1O,,1.0,0.0
Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,0.0,1.0,0.0
Cc1nc([N+](=O)[O-])cn1-c1ccc([N+](=O)[O-])cc1,Cc1nc([N+](=O)[O-])cn1-c1ccc([N+](=O)[O-])cc1,,1.0,
Nc1ncn(C2OC(CO)C(O)C2O)c(=O)n1,Nc1ncn(C2OC(CO)C(O)C2O)c(=O)n1,1.0,1.0,1.0
C1CCC2CCCCC2C1,C1CCC2CCCCC2C1,,,1.0
CNC1CCc2cc(OC)c(OC)c(OC)c2-c2ccc(OC)c(=O)cc21,CNC1CCc2cc(OC)c(OC)c(OC)c2-c2ccc(OC)c(=O)cc21,0.0,,1.0
CCN(CC)CC(=O)Nc1c(C)cccc1C,CCN(CC)CC(=O)Nc1c(C)cccc1C,,,0.0
CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=CCSC12)c1csc(N)n1,CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=CCSC12)c1csc(N)n1,,,0.0
CCc1cccc2c3c([nH]c12)C(CC)(CC(=O)O)OCC3,CCc1cccc2c3c([nH]c12)C(CC)(CC(=O)O)OCC3,0.0,1.0,0.0
O=Cc1ccc(CO)o1,O=Cc1ccc(CO)o1,,,0.0
CCCN=[N+]([O-])CCC,CCCN=[N+]([O-])CCC,1.0,,
O=[N+]([O-])c1ccc(-c2cscn2)o1,O=[N+]([O-])c1ccc(-c2cscn2)o1,1.0,,
CC1CCC(C(C)C)C(O)C1,CC1CCC(C(C)C)C(O)C1,0.0,,0.0
CN(C)NC(=O)CCC(=O)O,CN(C)NC(=O)CCC(=O)O,1.0,,
COc1cc(NCc2ccc3nc(N)nc(N)c3c2C)cc(OC)c1OC,COc1cc(NCc2ccc3nc(N)nc(N)c3c2C)cc(OC)c1OC,,0.0,0.0
CC12CCC3C4CCC(=O)C=C4CCC3C1CCC2O,CC12CCC3C4=C(CCC3C1CCC2O)CC(=O)CC4,,1.0,
CC(C)(C)C(=O)OCOC(=O)C1N2C(=O)C(N=CN3CCCCCC3)C2SC1(C)C,CC(C)(C)C(=O)OCOC(=O)C1N2C(=O)C(N=CN3CCCCCC3)C2SC1(C)C,,1.0,
CCOC(=O)c1cncn1C(C)c1ccccc1,CCOC(=O)c1cncn1C(C)c1ccccc1,,0.0,
Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,,1.0,0.0
CCCCC(=O)O,CCCCC(=O)O,,0.0,
Nc1c(Cl)c(Cl)nc(C(=O)O)c1Cl,Nc1c(Cl)c(Cl)nc(C(=O)O)c1Cl,0.0,,
C1CCNCC1,C1CCNCC1,0.0,,
NC1=NC(=O)C(c2ccccc2)O1,Nc1nc(O)c(-c2ccccc2)o1,0.0,1.0,
COc1cc(C2c3cc4c(cc3C(OC3OC5COC(c6cccs6)OC5C(O)C3O)C3COC(=O)C23)OCO4)cc(OC)c1O,COc1cc(C2c3cc4c(cc3C(OC3OC5COC(c6cccs6)OC5C(O)C3O)C3COC(=O)C23)OCO4)cc(OC)c1O,,1.0,
CC1=C(C(=O)OCCN(Cc2ccccc2)c2ccccc2)C(c2cccc([N+](=O)[O-])c2)C(P2(=O)OCC(C)(C)CO2)=C(C)N1,CC1=NC(C)=C(P2(=O)OCC(C)(C)CO2)C(c2cccc([N+](=O)[O-])c2)C1C(=O)OCCN(Cc1ccccc1)c1ccccc1,0.0,,
Cn1cc(C(=O)C2CCc3nc[nH]c3C2)c2ccccc21,Cn1cc(C(=O)C2CCc3[nH]cnc3C2)c2ccccc21,0.0,,
CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC,CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC,,1.0,
CCc1ccc(C)nc1,CCc1ccc(C)nc1,,,0.0
O=NN1CCC(=O)NC1=O,O=NN1CCC(=O)NC1=O,1.0,,
NCCc1cnc[nH]1,NCCc1c[nH]cn1,,0.0,
O=C(O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-],O=C(O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-],0.0,,
Cc1cc(-c2ccc(N)c(C)c2)ccc1N,Cc1cc(-c2ccc(N)c(C)c2)ccc1N,1.0,,
NCCNc1cccc2ccccc12,NCCNc1cccc2ccccc12,0.0,,
CCOC(C)(C)C,CCOC(C)(C)C,,,0.0
O=C1c2c(O)cccc2Cc2cccc(O)c21,Oc1cccc2cc3cccc(O)c3c(O)c12,,1.0,0.0
CC1=C(CC(=O)NCc2ccccc2)c2cc(F)ccc2C1=Cc1ccncc1,CC1=C(CC(=O)NCc2ccccc2)c2cc(F)ccc2C1=Cc1ccncc1,,1.0,
CC12CCC3C(CCC4CC(=O)CCC43C)C1CCC2O,CC12CCC3C(CCC4CC(=O)CCC43C)C1CCC2O,,1.0,
COC12C(COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1CC1NC12,C=c1c(N)c(O)c2c(c1O)N1CC3NC3C1(OC)C=2COC(N)=O,1.0,1.0,1.0
CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1,,0.0,
N=C(N)SCCN,N=C(N)SCCN,,0.0,
COc1ccc(O)cc1,COc1ccc(O)cc1,1.0,0.0,
CN(C)C1C(=O)C(C(N)=O)=C(O)C2(O)C(=O)C3=C(O)c4c(O)cccc4C(C)(O)C3CC12,CN(C)C1C(=O)C(C(N)=O)C(=O)C2(O)C(=O)C3C(=O)c4c(O)cccc4C(C)(O)C3CC12,0.0,1.0,
COC(=O)C1=CCCN(N=O)C1,COC(=O)C1=CCCN(N=O)C1,0.0,,
O=C1CN(N=Cc2ccc([N+](=O)[O-])o2)C(=O)N1,O=c1[nH]c(O)cn1N=Cc1ccc([N+](=O)[O-])o1,1.0,1.0,0.0
Cc1ccc(S(=O)(=O)NCl)cc1,Cc1ccc(S(=O)(=O)NCl)cc1,,0.0,
CC(C)NNC(=O)c1ccncc1,CC(C)NNC(=O)c1ccncc1,,1.0,
CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c1ccc(Cl)cc1,CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c1ccc(Cl)cc1,0.0,,
CN(C)CCCCl,CN(C)CCCCl,,,0.0
COC1C=COC2(C)Oc3c(C)c(O)c4c(O)c(c5c(nc6cc(C)ccn65)c4c3C2=O)NC(=O)C(C)=CC=CC(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C,COC1C=COC2(C)Oc3c(C)c(O)c4c(O)c(c5c(nc6cc(C)ccn65)c4c3C2=O)NC(=O)C(C)=CC=CC(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C,,0.0,0.0
C=CCS(=O)(=O)CC=C,C=CCS(=O)(=O)CC=C,,,0.0
CC(C)=C1CCC(C)CC1=O,CC(C)=C1CCC(C)CC1=O,,,0.0
O=C(O)CN(CCN(CC(=O)O)CC(COP(=O)(O)OC1CCC(c2ccccc2)(c2ccccc2)CC1)N(CC(=O)O)CC(=O)O)CC(=O)O,O=C(O)CN(CCN(CC(=O)O)CC(COP(=O)(O)OC1CCC(c2ccccc2)(c2ccccc2)CC1)N(CC(=O)O)CC(=O)O)CC(=O)O,,0.0,
CCCC1(CCc2ccccc2)CC(=O)C(C(CC)c2cccc(NS(=O)(=O)c3ccc(C(F)(F)F)cn3)c2)=C(O)O1,CCCC1(CCc2ccccc2)CC(=O)C(C(CC)c2cccc(NS(=O)(=O)c3ccc(C(F)(F)F)cn3)c2)C(=O)O1,,1.0,0.0
CC(C[N+](C)(C)C)OC(N)=O,CC(C[N+](C)(C)C)OC(N)=O,,0.0,
CCCCOCCOCCO,CCCCOCCOCCO,,,0.0
Cc1cc(N)ccc1N,Cc1cc(N)ccc1N,0.0,,
O=C(O)CCCc1ccccc1,O=C(O)CCCc1ccccc1,,1.0,
CC1(C(=O)O)CCC2(C)CCC3(C)C(=CC(=O)C4C5(C)CCC(OC(=O)CCC(=O)O)C(C)(C)C5CCC43C)C2C1,CC1(C(=O)O)CCC2(C)CCC3(C)C(=C2C1)CC(=O)C1C2(C)CCC(OC(=O)CCC(=O)O)C(C)(C)C2CCC13C,,0.0,
c1ccc(-c2ccc(C(c3ccccc3)n3ccnc3)cc2)cc1,c1ccc(-c2ccc(C(c3ccccc3)n3ccnc3)cc2)cc1,,0.0,
CC(CCC(=O)O)C1CCC2C3C(=O)CC4CC(=S)CCC4(C)C3CC(=O)C12C,CC(CCC(=O)O)C1CCC2C3C(=O)CC4CC(=S)CCC4(C)C3CC(=O)C12C,,0.0,
Clc1ccc(Cl)cc1,Clc1ccc(Cl)cc1,1.0,1.0,0.0
Cc1cccc(CN2CCN(C(c3ccccc3)c3ccc(Cl)cc3)CC2)c1,Cc1cccc(CN2CCN(C(c3ccccc3)c3ccc(Cl)cc3)CC2)c1,,0.0,
CNC(=O)C(NC(=O)C(CC(C)C)C(O)C(=O)NO)C(C)(C)C,CNC(=O)C(NC(=O)C(CC(C)C)C(O)C(O)=NO)C(C)(C)C,,0.0,
CNCC(O)c1ccc(OC(=O)C(C)(C)C)c(OC(=O)C(C)(C)C)c1,CNCC(O)c1ccc(OC(=O)C(C)(C)C)c(OC(=O)C(C)(C)C)c1,,0.0,
CCNc1nc(Cl)nc(NCC)n1,CCNc1nc(Cl)nc(NCC)n1,0.0,,
CC(=O)Nc1cc([As](=O)(O)O)ccc1O,CC(=O)Nc1cc([As](=O)(O)O)ccc1O,,1.0,
Nc1ccc(C(F)(F)F)cc1,Nc1ccc(C(F)(F)F)cc1,,,0.0
O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1F,O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1F,,1.0,1.0
N=C(N)NCCCC(N)C(=O)O,N=C(N)NCCCC(N)C(=O)O,,0.0,
CN(C)CCC=C1c2ccccc2COc2ccccc21,CN(C)CCC=C1c2ccccc2COc2ccccc21,,1.0,
CC(=O)SCC(Cc1ccccc1)C(=O)NCC(=O)OCc1ccccc1,CC(=O)SCC(Cc1ccccc1)C(=O)NCC(=O)OCc1ccccc1,,1.0,
COP(=O)(OC)OC=C(Cl)Cl,COP(=O)(OC)OC=C(Cl)Cl,1.0,,0.0
C1CC2OC2CC1C1CO1,C1CC2OC2CC1C1CO1,0.0,,
CN1c2c(oc(=O)n(-c3ccccn3)c2=O)-c2ccccc2S1(=O)=O,CN1c2c(oc(=O)n(-c3ccccn3)c2=O)-c2ccccc2S1(=O)=O,,1.0,
C=C1C(CCl)(CCl)C2(Cl)C(Cl)C(Cl)C1(Cl)C2(Cl)Cl,C=C1C(CCl)(CCl)C2(Cl)C(Cl)C(Cl)C1(Cl)C2(Cl)Cl,0.0,,
CC(C)C1CCC(C(=O)NC(Cc2ccccc2)C(=O)O)CC1,CC(C)C1CCC(C(=O)NC(Cc2ccccc2)C(=O)O)CC1,,0.0,0.0
CCCCCN(CCCCC)N=O,CCCCCN(CCCCC)N=O,1.0,,
CC(C=CC=C(C)C=CC1=C(C)CCCC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1=C(C)CCCC1(C)C,CC(C=CC=C(C)C=CC1=C(C)CCCC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1=C(C)CCCC1(C)C,0.0,1.0,1.0
CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,,0.0,0.0
C[N+](C)(C)CCO,C[N+](C)(C)CCO,0.0,,
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,,,0.0
O=c1ncnc2[nH][nH]cc1-2,O=c1[nH]cnc2[nH]ncc12,,1.0,
Nc1ncnc2c1ncn2C1OC(CO)CC1O,Nc1ncnc2c1ncn2C1OC(CO)CC1O,,0.0,
C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)C)CC(O)CC1O,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)C)CC(O)CC1O,,1.0,
CC(=O)NN,CC(=O)NN,,,1.0
O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1,O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1,,1.0,0.0
Cc1ccc(NN=C2C(=O)C(S(=O)(=O)O)=Cc3ccc(S(=O)(=O)O)cc32)c(C)c1,Cc1ccc(N=Nc2c(O)c(S(=O)(=O)O)cc3ccc(S(=O)(=O)O)cc23)c(C)c1,1.0,,
CCCC(C)(COC(N)=O)COC(=O)NC(C)C,CCCC(C)(COC(N)=O)COC(=O)NC(C)C,,0.0,0.0
COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,,1.0,
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,,1.0,
CCOC(=O)Nc1ccc(SCC2COC(Cn3ccnc3)(c3ccc(Cl)cc3Cl)O2)cc1,CCOC(=O)Nc1ccc(SCC2COC(Cn3ccnc3)(c3ccc(Cl)cc3Cl)O2)cc1,,,1.0
CCOC(=O)c1ccc(C#Cc2ccc3c(c2)C(C)(C)CCS3)nc1,CCOC(=O)c1ccc(C#Cc2ccc3c(c2)C(C)(C)CCS3)nc1,,0.0,0.0
CN(CCCC(O)c1cccnc1)N=O,CN(CCCC(O)c1cccnc1)N=O,1.0,,
CCC1(O)CC2CN(CCc3c([nH]c4ccccc34)C(C(=O)OC)(c3cc4c(cc3OC)N(C=O)C3C(O)(C(=O)OC)C(OC(C)=O)C5(CC)C=CCN6CCC43C65)C2)C1,CCC1(O)CC2CN(CCc3c([nH]c4ccccc34)C(C(=O)OC)(c3cc4c(cc3OC)N(C=O)C3C(O)(C(=O)OC)C(OC(C)=O)C5(CC)C=CCN6CCC43C65)C2)C1,,1.0,1.0
CC1(C)SC2C(NC(=O)C(C(=O)O)c3ccsc3)C(=O)N2C1C(=O)O,CC1(C)SC2C(NC(=O)C(C(=O)O)c3ccsc3)C(=O)N2C1C(=O)O,,0.0,
CC=C1NC(=O)C2CSSCCC=CC(CC(=O)NC(C(C)C)C(=O)N2)OC(=O)C(C(C)C)NC1=O,CCC1=NC(=O)C2CSSCCC=CC(CC(=O)NC(C(C)C)C(=O)N2)OC(=O)C(C(C)C)NC1=O,,0.0,
O=C1OC(c2ccc(O)c(S(=O)(=O)O)c2)(c2ccc(O)c(S(=O)(=O)O)c2)c2c(Br)c(Br)c(Br)c(Br)c21,O=C1OC(c2ccc(O)c(S(=O)(=O)O)c2)(c2ccc(O)c(S(=O)(=O)O)c2)c2c(Br)c(Br)c(Br)c(Br)c21,,1.0,
C=C(C)CCl,C=C(C)CCl,1.0,,0.0
CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,1.0,1.0,
O=Nc1ccc(Nc2ccccc2)cc1,O=Nc1ccc(Nc2ccccc2)cc1,1.0,,
CC(=O)OCC[N+](C)(C)C,CC(=O)OCC[N+](C)(C)C,,0.0,
CN(C)CCOC(c1ccc(Cl)cc1)c1ccccn1,CN(C)CCOC(c1ccc(Cl)cc1)c1ccccn1,,0.0,
CN(Cc1cc(Br)cc(Br)c1N)C1CCCCC1,CN(Cc1cc(Br)cc(Br)c1N)C1CCCCC1,,1.0,
CCCCC(C)(O)CC=CC1C(O)CC(=O)C1CCCCCCC(=O)OC,CCCCC(C)(O)CC=CC1C(O)CC(=O)C1CCCCCCC(=O)OC,0.0,0.0,0.0
C=CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(=NOCC(=O)O)c3csc(N)n3)C2SC1,C=CC1=C(C(=O)O)N2C(=O)C(=NC(=O)C(NOCC(=O)O)c3csc(N)n3)C2SC1,,,0.0
Clc1ccccn1,Clc1ccccn1,,,0.0
CCCCCN(N=O)C(N)=N[N+](=O)[O-],CCCCCN(N=O)C(=N)N[N+](=O)[O-],0.0,,
CC(C)c1cccc(C(C)C)c1O,CC(C)c1cccc(C(C)C)c1O,,1.0,0.0
O=C1C(CCC(O)c2ccc(F)cc2)C(c2ccc(O)cc2)N1c1ccc(F)cc1,O=C1C(CCC(O)c2ccc(F)cc2)C(c2ccc(O)cc2)N1c1ccc(F)cc1,,1.0,0.0
Cn1nnnc1SCC1=C(C(=O)O)N2C(=O)C(NC(=O)C(O)c3ccccc3)C2SC1,Cn1nnnc1SCC1=C(C(=O)O)N2C(=O)C(NC(=O)C(O)c3ccccc3)C2SC1,,1.0,
O=NN1CCSCC1,O=NN1CCSCC1,1.0,,
CC[N+](CC)(CCNC(=O)C(=O)NCC[N+](CC)(CC)Cc1ccccc1Cl)Cc1ccccc1Cl,CC[N+](CC)(CCNC(=O)C(=O)NCC[N+](CC)(CC)Cc1ccccc1Cl)Cc1ccccc1Cl,,0.0,
CN(C)NN=C1N=CN=C1C(N)=O,CN(C)N=Nc1[nH]cnc1C(N)=O,1.0,1.0,
CC(=O)NC(C(=O)NCOP(=O)(O)O)(c1ccccc1)c1ccccc1,CC(=O)NC(C(=O)NCOP(=O)(O)O)(c1ccccc1)c1ccccc1,,0.0,
CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)n1c(C(=O)O)cn(C)c1=O,CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)n1c(C(=O)O)cn(C)c1=O,,0.0,
O=[N+]([O-])c1ccc(Nc2ccc(Nc3ccccc3)c(S(=O)(=O)O)c2)c([N+](=O)[O-])c1,O=[N+]([O-])c1ccc(Nc2ccc(Nc3ccccc3)c(S(=O)(=O)O)c2)c([N+](=O)[O-])c1,1.0,,
O=C(OOC(=O)c1ccccc1)c1ccccc1,O=C(OOC(=O)c1ccccc1)c1ccccc1,0.0,0.0,
C#CC1(OC(C)=O)CCC2C3CCC4=CC(OC(C)=O)CCC4C3CCC21C,C#CC1(OC(C)=O)CCC2C3CCC4=CC(OC(C)=O)CCC4C3CCC21C,0.0,1.0,
O=C(O)CCCCCCNC1c2ccccc2CCc2ccccc21,O=C(O)CCCCCCNC1c2ccccc2CCc2ccccc21,,1.0,
CCCCC1(COC(=O)CCC(=O)O)C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,CCCCC1(COC(=O)CCC(=O)O)C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,0.0,,
Cc1ccc(O)c(C(CCN(C(C)C)C(C)C)c2ccccc2)c1,Cc1ccc(O)c(C(CCN(C(C)C)C(C)C)c2ccccc2)c1,,0.0,0.0
C[N+](C)(C)OP(=O)([O-])OP(=O)(O)OCC1OC(n2ccc(N)nc2=O)C(O)C1O,C[N+](C)(C)OP(=O)([O-])OP(=O)(O)OCC1OC(n2ccc(N)nc2=O)C(O)C1O,,0.0,
CCC(Br)(CC)C(=O)NC(N)=O,CCC(Br)(CC)C(=O)NC(N)=O,0.0,,
COC(=O)Nc1nc2ccc(C(=O)c3ccccc3)cc2[nH]1,COC(=O)Nc1nc2cc(C(=O)c3ccccc3)ccc2[nH]1,,1.0,
O=C(O)C1=CC(=NNc2ccc(S(=O)(=O)Nc3ccccn3)cc2)C=CC1=O,O=C(O)c1cc(N=Nc2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O,1.0,1.0,1.0
O=[N+]([O-])c1cccc2cccnc12,O=[N+]([O-])c1cccc2cccnc12,1.0,,
COc1cc2c(c3oc(=O)c4c(c13)CCC4=O)C1C=COC1O2,COc1cc2c(c3oc(=O)c4c(c13)CCC4=O)C1C=COC1O2,1.0,1.0,1.0
CC(C)(ON=C(C(=O)NC1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccccc3)CSC12)c1csc(N)n1)C(=O)O,CC(C)(ON=C(C(=O)NC1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccccc3)CSC12)c1csc(N)n1)C(=O)O,,,0.0
CCCCc1ncc(C=C(Cc2cccs2)C(=O)O)n1Cc1ccc(C(=O)O)cc1,CCCC=c1ncc(=CC(Cc2cccs2)C(=O)O)n1Cc1ccc(C(=O)O)cc1,,0.0,0.0
COc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341,COc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341,0.0,0.0,
Brc1cc(Oc2cc(Br)c(Br)c(Br)c2Br)c(Br)c(Br)c1Br,Brc1cc(Oc2cc(Br)c(Br)c(Br)c2Br)c(Br)c(Br)c1Br,,,1.0
Cc1cc(O)cc(C)c1Cl,Cc1cc(O)cc(C)c1Cl,,0.0,
CC(=O)Nc1nc(NC(C)=O)nc(-c2ccc([N+](=O)[O-])o2)n1,CC(=O)Nc1nc(NC(C)=O)nc(-c2ccc([N+](=O)[O-])o2)n1,1.0,,
NC(=O)C1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,NC(=O)C1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,,1.0,
COC(=O)c1ccccc1O,COC(=O)c1ccccc1O,,0.0,
O=C1CN2Cc3c(ccc(Cl)c3Cl)N=C2N1,Oc1cn2c(n1)Nc1ccc(Cl)c(Cl)c1C2,,,0.0
CC(=O)NC(CC(=O)O)C(=O)O,CC(=O)NC(CC(=O)O)C(=O)O,,,0.0
O=C(O)c1ccc([N+](=O)[O-])cc1,O=C(O)c1ccc([N+](=O)[O-])cc1,1.0,,0.0
COC(=O)C1=C(C)NC(C)=C(C(=O)OCCc2ccc(N3CCN(C(c4ccccc4)c4ccccc4)CC3)cc2)C1c1cccc([N+](=O)[O-])c1,COC(=O)C1=C(C)N=C(C)C(C(=O)OCCc2ccc(N3CCN(C(c4ccccc4)c4ccccc4)CC3)cc2)C1c1cccc([N+](=O)[O-])c1,0.0,,
CS(=O)(=O)c1ccc(C(O)C(CO)NC(=O)C(Cl)Cl)cc1,CS(=O)(=O)c1ccc(C(O)C(CO)NC(=O)C(Cl)Cl)cc1,0.0,1.0,
O=C1CCCC(=O)C1C(=O)c1ccc(C(F)(F)F)cc1[N+](=O)[O-],O=C1CCCC(=O)C1C(=O)c1ccc(C(F)(F)F)cc1[N+](=O)[O-],,0.0,
Cc1ccc(S(=O)(=O)NC(=O)NN2CCCCCC2)cc1,Cc1ccc(S(=O)(=O)NC(=O)NN2CCCCCC2)cc1,0.0,1.0,
COC(c1ccccc1)(c1ccccc1)C(Oc1nc(C)cc(C)n1)C(=O)O,COC(c1ccccc1)(c1ccccc1)C(Oc1nc(C)cc(C)n1)C(=O)O,,0.0,
NC(Cc1ccc(O)cc1)C(=O)O,NC(Cc1ccc(O)cc1)C(=O)O,,1.0,
CCOc1ccc2nc(S(N)(=O)=O)sc2c1,CCOc1ccc2nc(S(N)(=O)=O)sc2c1,,0.0,
Nc1nc(=O)c2nc(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)cnc2[nH]1,Nc1nc(=O)c2nc(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)cnc2[nH]1,,0.0,
CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O,CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O,,1.0,
COC(=O)NN=Cc1c[n+]([O-])c2ccccc2[n+]1[O-],COC(=O)NN=Cc1c[n+]([O-])c2ccccc2[n+]1[O-],,,1.0
O=C(O)COc1ccc(Cl)cc1Cl,O=C(O)COc1ccc(Cl)cc1Cl,0.0,,
O=c1[nH]nc(-c2ccc([N+](=O)[O-])o2)o1,O=c1[nH]nc(-c2ccc([N+](=O)[O-])o2)o1,1.0,,
CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n1ccnc1,CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n1ccnc1,,,0.0
CN(C)C1C(=O)C(C(N)=O)=C(O)C2(O)C(=O)C3=C(O)c4c(O)cccc4C(C)(O)C3C(O)C12,CN(C)C1C(=O)C(C(N)=O)C(=O)C2(O)C(=O)C3C(=O)c4c(O)cccc4C(C)(O)C3C(O)C12,0.0,0.0,
CCCCNC(=O)N(CCCC)N=O,CCCCNC(=O)N(CCCC)N=O,1.0,,
