草药名称,成分集合,靶点集合,特征集合,毒性标签
硼砂,C0026;C0063;C0066;C0072;C0157;C0164;C0188;C0190;C0199;C0231;C0285;C0291;C0352;C0447;C0448;C0455;C0457;C0478;C0498;C0523;C0528;C0547;C0771;C0845;C0914;C1162;C1203;C1209;C1231,T00CXT;T00EP2;T00H7Q;T00KKS;T00T9M;T01CL0;T01E7W;T01FVG;T01IGB;T01QLH;T02DEN;T02GD4;T02IOG;T02M5I;T02QBS;T02WMA;T03CZ8;T03VS9;T03YAI;T04HXV;T04TWI;T04UTZ;T05PKX;T05RAA;T05WWN;T06ADX;T06IYF;T06MQM;T06PVX;T06RMZ;T07NML;T07TMB;T07VJT;T07VO1;T07VV7;T08DOL;T08Q7W;T09AAD;T09DI4;T09H2Z;T09INZ;T09KPZ;T10HL8;T10ICM;T10IWJ;T10S5F;T11BI7;T11OU8;T11ZYR;T12PIB;T12T4H;T12WTT;T13KGH;T14DX3;T14JSQ;T14JZK;T14LSK;T16A2X;T16MRU;T16OQ5;T16Q09;T16UZ4;T17CNB;T17CZC;T17UP9;T18DUA;T18LX5;T18MOS;T19CUN;T20JZ2;T20TPU;T21DZX;T21S10;T22H8P;T22I6G;T22IMH;T22NX4;T22OPB;T23KDW;T23LHE;T23P74;T23VMI;T23WMS;T24C0P;T24LXT;T24U57;T24YWQ;T25H22;T25M2J;T25NSJ;T25S1M;T25Y64;T26EZU;T26KIE;T27LTU;T28EY5;T29B10;T29JA7;T29MD1;T30L86;T30VNV;T31G6V;T31JWV;T31MUM;T31RKU;T31SX8;T31U13;T31ZFD;T32PI2;T32R5L;T32UNL;T33OPP;T34DZ7;T34HYH;T34Y7V;T35LKG;T35QZO;T36SOV;T37ADS;T37VLU;T38BR0;T38EQ6;T38K2W;T38O11;T38T1U;T38WWN;T39FBA;T39M6J;T39RV3;T40B7E;T40DIM;T40JZG;T40XWM;T41BXR;T41DXP;T41INV;T41TXS;T42D4V;T42EAZ;T42PUG;T42XY2;T43G0N;T43GWF;T43LYL;T43N2D;T44LWL;T45G32;T46AQJ;T46J84;T46K2X;T46YMA;T47H3O;T47HTN;T47WT6;T48DAP;T48XM4;T49J7I;T49ORJ;T49PL1;T49TDM;T50GQE;T50SJ8;T50SX0;T50V79;T50VJF;T51EKP;T51IKV;T51K6D;T52CKD;T52RGZ;T52T5O;T53AOE;T53YWQ;T54CIF;T54G8J;T54N7G;T54OSZ;T54RF5;T54SZZ;T54VQA;T54X6V;T55EFK;T55IBP;T56OUM;T56TXY;T57GP2;T57HGP;T57L0X;T58J2Y;T59IKQ;T60B3R;T60GGR;T60KJ1;T60XJI;T60XS5;T61DYZ;T61OY3;T61QXV;T62ERY;T62QDU;T62UOD;T62USB;T62Y4H;T63BQU;T63DP6;T63FNY;T63GUB;T63YAO;T64BPL;T64BTV;T64UH1;T64W2K;T64X48;T65JYL;T65S3S;T66BXF;T66WWM;T67CB6;T67HAF;T67JME;T67JR8;T67KTV;T67MQU;T67RBZ;T67X1L;T67ZT3;T68AKE;T68BGR;T68DAN;T68HNO;T68OIU;T68SE0;T69NG6;T69RXK;T69XVX;T70HC9;T70HTD;T70KPE;T70LAB;T70SFS;T70U24;T70YKV;T71BDH;T71GRQ;T71K92;T73LPO;T74D4Y;T74ETU;T74I49;T74JJN;T74LFK;T74QXI;T74V1Z;T75B9S;T75H3W;T75HMM;T76AZQ;T76CGR;T76QBQ;T77BI5;T77M4W;T77UWH;T78EXU;T78ILO;T78IOY;T78O6C;T78VUO;T78ZF2;T79KQO;T79UQC;T79WXA;T80D9C;T80GUN;T80OJF;T80TUC;T80WPU;T80XW6;T81I4T;T81MSV;T82ALJ;T82JWE;T82S6C;T83QHM;T83SXS;T83YZD;T84CEG;T84FSA;T84P70;T84TJB;T84W8G;T85AXP;T85JI5;T85U8U;T86MX7;T86O9J;T86ROZ;T86UXL;T87AXU;T87DEX;T87WMV;T87WYU;T88AJI;T88B8X;T88BCB;T88LSZ;T88TDZ;T89L4V;T90ORW;T90QV5;T90XYZ;T91AIW;T91EAB;T91KTQ;T91MKC;T91OUC;T91T8I;T92AMR;T92BZ2;T92HNO;T92Q77;T92UBJ;T93NTV;T93R42;T93SFQ;T93WZG;T94H37;T94S85;T94VM4;T94YOD;T95IYZ;T95K8Q;T95LIF;T96G89;T96OOK;T97ESI;T97FEF;T98FWP;T99ARN;T99XQ3,0;15;16;24;30,"0.0,0.0,0.0,1.0,0.0"
山茱萸,C0014;C0060;C0061;C0064;C0070;C0090;C0133;C0148;C0156;C0189;C0207;C0219;C0231;C0261;C0262;C0285;C0287;C0298;C0333;C0352;C0366;C0381;C0416;C0419;C0429;C0453;C0476;C0479;C0510;C0528;C0539;C0568;C0569;C0730;C0817;C0884;C0905;C0931;C1178;C1181;C1201;C1203;C1253;C1258;C1259;C1270,T00CXT;T00EP2;T00H7Q;T00T9M;T00VON;T01CL0;T01E7W;T01FVG;T01HJQ;T01IGB;T01QLH;T02GD4;T02H9U;T02M5I;T02QBS;T02WMA;T03CZ8;T03TJ0;T03VS9;T03YAI;T04A6O;T04FNN;T04H8Y;T04HXV;T04MBA;T04TWI;T04UTZ;T04V7K;T05O6O;T05PKX;T05RAA;T05WWN;T06MQM;T06Q1R;T06RMZ;T06VX0;T07NML;T07TMB;T07VV7;T08B2M;T08DOL;T08Q7W;T08U92;T09AAD;T09DI4;T09GFP;T09H2Z;T09ICL;T09INZ;T09KPZ;T10HL8;T10JEU;T10S5F;T11BI7;T11ZYR;T12BGL;T12PIB;T12T4H;T12WTT;T13I7C;T13KGH;T13WH4;T14ENF;T14J1F;T14JZK;T14LSK;T15I0F;T16A2X;T16DCZ;T16MRU;T16OQ5;T16UZ4;T17CNB;T17CZC;T17E49;T17UP9;T18DUA;T19BO9;T19CUN;T20H9F;T20IHC;T20JZ2;T21CMG;T21DZX;T22BA6;T22IMH;T22NX4;T22OPB;T23KDW;T23LHE;T23P74;T23VMI;T23WMS;T24LXT;T24U57;T24YWQ;T25H22;T25M2J;T25NSJ;T25RTY;T25Y64;T26EZU;T26KIE;T27S6H;T27U96;T28DIY;T28EY5;T28HOM;T28Z4N;T29B10;T29JA7;T29MD1;T30KQB;T30L86;T30VNV;T31EJG;T31G6V;T31JWV;T31RKU;T31SX8;T31U13;T31VDH;T32KN9;T32SPJ;T33OPP;T33UEM;T34AW3;T34DZ7;T34FQX;T34HYH;T34Y7V;T35QZO;T36I66;T36SOV;T37ADS;T37G49;T37JN5;T37VLU;T37WQE;T38BR0;T38EQ6;T38K2W;T38OH4;T38T1U;T38WWN;T39FBA;T39M6J;T39UT9;T39YUJ;T40G6B;T40LTN;T40XHY;T41INV;T41TXS;T42D4V;T42EAZ;T42HHN;T42PUG;T43G0N;T43LYL;T43N2D;T43NBB;T43Y5O;T44BWE;T44LWL;T44S1A;T45G32;T45WII;T46AQJ;T46BLT;T46K2X;T46YMA;T47H3O;T47WT6;T48J1U;T48XM4;T49FZB;T49ORJ;T49PL1;T49TDM;T49WTT;T50GQE;T50SJ8;T50SX0;T50V79;T50VJF;T50WOV;T51EKP;T51IKV;T51K6D;T51U9M;T52CKD;T52T5O;T53AOE;T53BUI;T53ES3;T53QS9;T54CIF;T54G8J;T54N7G;T54RF5;T54SZZ;T54VQA;T54X6V;T55EFK;T55NC2;T56MD7;T56OUM;T56TXY;T57GP2;T57HGP;T57L0X;T58J2Y;T58XLK;T59IKQ;T60KJ1;T60XS5;T61DYZ;T61OY3;T61QXV;T62F1Y;T63BQU;T63DP6;T63GUB;T63YAO;T64BPL;T64BTV;T64UH1;T64W2K;T64X48;T65JYL;T65S3S;T66BXF;T67HAF;T67JME;T67JR8;T67KTV;T67MQU;T67U3B;T67X1L;T67ZT3;T68BGR;T68IZC;T68OIU;T68SE0;T68WYW;T68XXK;T69NG6;T69RXK;T69XVX;T70HTD;T70KPE;T70LAB;T70OGQ;T70U24;T71BDH;T71GRQ;T71K92;T72BXP;T73EVE;T73LPO;T73PLT;T74I49;T74JJN;T74P7I;T74QOR;T74QXI;T75B9S;T75H3W;T75HMM;T76B0A;T76CGR;T76QBQ;T76TED;T77FOL;T77O2V;T77PFO;T77TY2;T77UWH;T78EXU;T78ILO;T78VUO;T78ZF2;T79KQO;T79UQC;T79WXA;T80GUN;T80OJF;T80OPZ;T80TUC;T80WPU;T81BH5;T81I4T;T81MSV;T82ALJ;T82GHD;T82I7J;T82JWE;T82S6C;T83QHM;T83YZD;T84CEG;T84P70;T84TJB;T84W8G;T85AXP;T85JI5;T85S9Z;T85U8U;T86J48;T86O9J;T86ROZ;T86YQL;T87DEX;T87WYU;T88AJI;T88B8X;T88BCB;T88QQE;T88TDZ;T89GCM;T89L4V;T90ADC;T90QV5;T90XYZ;T90ZKN;T91EAB;T91KTQ;T91MKC;T91OUC;T92BZ2;T93NTV;T93R42;T93SFQ;T93VFT;T93WZG;T94H37;T94S85;T94WHJ;T94YOD;T95H9O;T95IYZ;T96OOK;T97ESI;T97FEF;T97KL5;T98DNG;T98OJA;T98QOA;T98RXH;T99XQ3,42;51;55;64;66;81,"1.0,1.0,1.0,0.0,0.0"
自消容,C0245;C0425,T02IOG;T02O3F;T05OGW;T06MXL;T10S5F;T48UT8;T52UTG;T54SZZ;T63BQU;T64UH1;T64W2K;T67KTV;T71BDH;T73S71;T75H3W;T80O6V;T86ROZ;T88AJI;T93SFQ;T95IYZ;T99EYH,0;6;15;16;42;91,"0.0,1.0,1.0,1.0,1.0"
铃兰,C0114;C0370;C0377;C0476;C0532;C0727;C0825;C0905;C1178;C1203;C1220;C1231;C1241,T00CXT;T00EP2;T00H7Q;T01QLH;T02GD4;T02P7Q;T02QBS;T03CZ8;T04A6O;T04H8Y;T04UTZ;T04WT7;T06RMZ;T06VX0;T07NML;T08Q7W;T09H2Z;T10HL8;T10S5F;T11BI7;T11ZYR;T12PIB;T14ENF;T14LSK;T16A2X;T16DCZ;T16UZ4;T20H9F;T20RA0;T21Q0D;T22IMH;T22NX4;T22OPB;T23P74;T23VMI;T24C0P;T24LXT;T24U57;T25H22;T25NSJ;T25UYT;T25Y64;T26KIE;T27U96;T28PHS;T29MD1;T30D9G;T30VNV;T31U13;T32KN9;T33OPP;T34DZ7;T34FQX;T34HYH;T35QZO;T37WQE;T38BR0;T38OH4;T38T1U;T39RV3;T39YUJ;T42EAZ;T42WKC;T44LWL;T45G32;T46YMA;T49ORJ;T49TDM;T49XOZ;T50SJ8;T50SX0;T50WOV;T53AOE;T53ES3;T53RK9;T54X6V;T56TXY;T57HGP;T57L0X;T58J2Y;T58XLK;T59IKQ;T61OY3;T62ERY;T63BQU;T63GUB;T64BED;T64BTV;T64UH1;T64W2K;T64X48;T67ZT3;T68BGR;T68XXK;T69RXK;T70OGQ;T70SFS;T71BDH;T71K92;T72BXP;T73EVE;T74I49;T74JJN;T74LFK;T74QOR;T74QXI;T75B9S;T75H3W;T75HMM;T75IW3;T76AZQ;T77FOL;T77TY2;T78ZF2;T79KQO;T79WXA;T80GUN;T80OJF;T80OPZ;T80TUC;T80U0C;T82JWE;T83DDX;T83YZD;T84P70;T84VZG;T85AXP;T85U8U;T86CQC;T86ROZ;T86UXL;T87QUW;T88QQE;T88TDZ;T89L4V;T90ZKN;T91OUC;T91T8I;T92BZ2;T92Q77;T93R42;T93SFQ;T93VFT;T93WZG;T95H9O;T96OOK;T97FEF;T98RXH;T99EYH;T99W15;T99XQ3,0;6;8;11;13;51;55;91;143;226,"1.0,1.0,1.0,1.0,1.0"
细辛,C0063;C0064;C0100;C0219;C0240;C0242;C0248;C0283;C0291;C0381;C0399;C0400;C0447;C0491;C0504;C0523;C0528;C0697;C0771;C0921;C0956;C1209;C1218,T00EP2;T02AK2;T02QBS;T02WX3;T03G09;T04HTN;T04WT7;T05XOE;T06ADX;T06Q1R;T06RMZ;T07VJT;T08OIA;T08Q7W;T08UWG;T09H2Z;T09INZ;T10HL8;T11GYO;T12WTT;T13KGH;T14JZK;T14W2H;T16A2X;T16MRJ;T17UP9;T18LX5;T20HY9;T20MBF;T20TB8;T21DZX;T21UJU;T22OPB;T23P74;T23VMI;T25M2J;T25NSJ;T26KIE;T29MD1;T30TYH;T30VNV;T31U13;T32PI2;T32UNL;T33M2V;T33OPP;T33OSQ;T34DZ7;T38L2B;T38N69;T38O11;T39M6J;T40LTN;T42D4V;T42EAZ;T42Q3K;T43FA8;T43N2D;T44KU9;T44LWL;T46K2X;T48J2C;T49PL1;T51DHZ;T52CKD;T53KY7;T53YWQ;T54CIF;T54SZZ;T56A9T;T57L0X;T58J2Y;T60LKM;T60XJI;T61OY3;T63BQU;T63GUB;T64BTV;T64T6J;T64UH1;T67KTV;T67ZT3;T68O49;T69DAO;T69NG6;T69XVX;T70JEM;T70KPE;T70LAB;T70VMI;T71K92;T72TF8;T74JJN;T74LFK;T76SUY;T77M4W;T78O6C;T79KQO;T79WXA;T80TUC;T81I4T;T82G3R;T82JWE;T83P5X;T83YZD;T84C2C;T84FSA;T84P70;T84W8G;T85U8U;T86ROZ;T87DEX;T87UKX;T88LSZ;T88QEV;T88TDZ;T90ZS8;T91K6V;T92BZ2;T92UBJ;T92UWJ;T93WZG;T93YV8;T95A39;T96OOK;T97FEF,3;8;10;16;60,"0.0,0.0,0.0,1.0,0.0"
金钱白花蛇,C0063,T09INZ;T12WTT;T23VMI;T30VNV;T60XJI;T64BTV;T67KTV;T83YZD;T84W8G,0;4;8;10;22;52;85,"0.0,1.0,1.0,1.0,0.0"
自消容子,C0570;C0690,T05RYU;T10HL8;T29MD1;T37SKN;T65CYN,2;12;15;16;35;72;215,"0.0,0.0,0.0,0.0,0.0"
草乌,C0426;C0878,T06ZFC;T08Q7W;T09H2Z;T09TCJ;T12PIB;T20KA8;T25M2J;T43SM9;T74JJN;T78T4E;T80Q3D;T85NRC;T93WZG,0;15;20;70;88,"1.0,0.0,0.0,1.0,0.0"
秦艽,C0153;C0262;C0483;C0539;C0625;C0653;C0687;C1178,T04H8Y;T04LY5;T10HL8;T14ENF;T22OPB;T23P74;T25Y64;T30D9G;T38EQ6;T38T1U;T43N2D;T44LWL;T48K08;T50SJ8;T53AOE;T58J2Y;T58XLK;T67JR8;T71K92;T74P7I;T78ZF2;T80TUC;T82ALJ;T83YZD;T85U8U;T86CQC;T86ROZ;T87O4D;T93VFT;T94AGC,0;10;16;21;22;157;286,"0.0,0.0,1.0,0.0,1.0"
曼陀罗叶,C0064;C0189;C0259;C0263;C0267;C0447;C0485;C0808;C0839;C0843;C1114;C1125;C1162;C1178;C1218;C1221;C1237,T00CXT;T01D27;T01QLH;T01S8U;T02DEN;T02H9U;T02IOG;T02QBS;T02QZI;T02YLA;T03CZ8;T03NWF;T04MBA;T04WT7;T05O6O;T06ADX;T06Q1R;T06RMZ;T07S0E;T07TMB;T08Q1T;T08Q7W;T09DI4;T09H2Z;T09INZ;T09S1E;T10HL8;T10KMJ;T10S5F;T11BI7;T12ECP;T12PIB;T12T4H;T13KGH;T14ENF;T14JSX;T15ZAV;T16A2X;T16UHV;T17CZC;T17UP9;T18CWB;T18F9A;T18LX5;T19EKF;T19K8W;T19XSL;T20H9F;T20JZ2;T21DZX;T21EGX;T21Q0D;T22NX4;T22OPB;T23APZ;T23P74;T23RXU;T23VMI;T23YZF;T24LXT;T25M2J;T25NSJ;T25Y64;T25YJB;T26KIE;T28PHS;T29B10;T29MD1;T30D9G;T30TYH;T30VNV;T31JWV;T31U13;T31ZFD;T32HPO;T32JN2;T32R5L;T32REB;T32SPJ;T33JS5;T33OPP;T33OSQ;T35FQV;T35QZO;T36SOV;T37G49;T37JN5;T38G9K;T38K2W;T38T1U;T38WWN;T39M6J;T39WPZ;T39XYV;T39YFG;T40MJF;T41B8C;T41BXR;T41INV;T41TXS;T42EAZ;T43N2D;T43NBB;T43QZ3;T44LWL;T45G32;T46AQJ;T46NT6;T47G3X;T48J1U;T48J2C;T48NTH;T48TW0;T48UT8;T48YPL;T49ORJ;T49PL1;T49TDM;T50GQE;T50SJ8;T50V79;T50VJF;T50WOV;T51WGR;T52H3P;T52VL6;T53AOE;T53KRS;T53SLQ;T54CIF;T54G8J;T54N7G;T54WR0;T56TXY;T57L0X;T58J2Y;T58TOI;T59DDI;T59IKQ;T60GGR;T61J7T;T61SU2;T62P0D;T63GUB;T63YAO;T64BTV;T64W2K;T65JUB;T65S3S;T67HYX;T67LQK;T67LRH;T67RBZ;T67UWO;T68DAN;T68IZC;T68OIU;T69RXK;T69XVX;T70KPE;T70LAB;T71K92;T71KM2;T73HMK;T73PLT;T73S71;T74D4Y;T74JJN;T74LFK;T74QXI;T74WWP;T75EH8;T75HMM;T75KZ8;T76TED;T77FOL;T77M4W;T78ILO;T78O6C;T78ZF2;T79WXA;T80GUN;T80OJF;T80TUC;T81I4T;T82ALJ;T82JWE;T83Y39;T84FNI;T84W8G;T84XYQ;T85AXP;T85U8U;T86D6K;T86ROZ;T86UXL;T87C5Q;T87N55;T87QUW;T87UKX;T87WH7;T88AJI;T88BCB;T88HDQ;T88LSZ;T88TDZ;T89L4V;T90ORW;T90RVD;T90XYZ;T91N2D;T91OUC;T92BZ2;T93PLN;T93VFT;T93WZG;T93YV8;T95IYZ;T95RKQ;T96OOK;T96Z38;T97FEF;T98DNG;T99ARN,0;1;6;16;60;285,"1.0,1.0,1.0,0.0,1.0"
青风藤,C0070;C0071;C0173;C0417;C0538;C0583;C0602;C0720;C0749;C0863;C0921;C1178;C1205,T00CXT;T00T99;T02QBS;T06MQM;T07TMB;T08Q1T;T08Q7W;T09H2Z;T12T4H;T13I7C;T13KGH;T14ENF;T19CTK;T20NCI;T20P3F;T20RA0;T21CMG;T22Y9W;T23B68;T23P74;T23VMI;T23XLR;T24D36;T26KIE;T27J4O;T28HOM;T28I32;T28IL8;T29GRI;T30TYH;T32PI2;T33JS5;T33OPP;T34DZ7;T34Y8V;T35LKG;T36PZ1;T37ADS;T37VLU;T38T1U;T40DIM;T40LTN;T41BXR;T41BYM;T42EAZ;T42PUG;T44LWL;T45B9P;T45LZI;T47G3X;T48ZIG;T49UAP;T50SJ8;T50WOV;T52FON;T53AOE;T55EFK;T56RMM;T58CAO;T60DN8;T63FRM;T63GUB;T64SK3;T64W2K;T66A7X;T67OMA;T67ZT3;T68SE0;T69NG6;T71K92;T73LNN;T74QXI;T74RBE;T75H3W;T77M4W;T78C6N;T78ZF2;T79WXA;T80TUC;T81I4T;T82G3R;T82JWE;T82SDM;T83YZD;T84ELW;T84VZG;T84W8G;T84XW5;T85CC2;T85U8U;T87C4J;T87N33;T88TDZ;T89L4V;T92BZ2;T92E71;T93VFT;T95IYZ;T98OJA;T98RXH,15;16;26;63;298,"1.0,1.0,1.0,1.0,1.0"
桂竹糖芥,C0363,T00CXT;T00HDE;T00YMY;T01JSX;T01QB9;T01QLH;T01QZQ;T01Z6D;T02WMA;T02XPT;T04PM9;T05O6O;T05PKX;T06MQM;T06QUL;T06RMZ;T07BRZ;T07TMB;T08DOL;T08JAV;T08Q7W;T08U92;T09H2Z;T09KPZ;T10HL8;T10S5F;T11BI7;T12IEI;T13I7C;T13KGH;T13NLM;T14JSQ;T15VAS;T16A2X;T16IWB;T16KVU;T16S8T;T17CZC;T17UP9;T18YXD;T20JZ2;T20W1O;T21CMG;T21DZX;T21YOI;T22IMH;T22J9V;T22OPB;T23OTN;T23P74;T23RWU;T23VMI;T24D36;T24U57;T25NSJ;T26EZU;T26KIE;T26RYP;T27IAF;T27IR2;T27LA6;T28HCY;T28HOM;T28IEO;T28K6X;T28PHS;T28WZ9;T29MD1;T29WP4;T30D9G;T30UDV;T30VNV;T31EJG;T31G6V;T32UXD;T33OPP;T34HYH;T35OPL;T36B1Q;T37ADS;T37G49;T37PX5;T38BR0;T38EXQ;T38G9K;T38K2W;T38WWN;T39FBA;T39M81;T40DIM;T40JMU;T40NB1;T41BXR;T42EAZ;T42HTA;T43BVC;T43LYL;T43N2D;T43SM9;T44BWE;T44LWL;T45G32;T45LZI;T45X9Z;T46NT6;T47HTN;T47MPW;T47WT6;T47YVM;T49ORJ;T49TDM;T50SX0;T50VJF;T50WOV;T51MC7;T53AOE;T53MUA;T53MV1;T53QS9;T53YWQ;T54CIF;T54G8J;T54SZZ;T54X6V;T55IBP;T57L0X;T58J2Y;T58K62;T58XLK;T59EBF;T59IKQ;T62P0D;T62QDU;T63BQU;T63W0D;T64BTV;T64UH1;T64W2K;T65S3S;T67HAF;T67JR8;T67RBZ;T67X1L;T67ZT3;T68DAN;T68SE0;T68XO1;T69ESY;T69NG6;T69VYP;T69XVX;T70B7U;T70EB9;T70HTD;T70LAB;T70SFS;T71GRQ;T71K92;T72BXP;T72QH0;T73LPO;T74D4Y;T74ETU;T74I49;T74JJN;T74LFK;T74QXI;T75A0Y;T75H3W;T75HMM;T76B0A;T78EMM;T78MBM;T78PK3;T78ZF2;T79KQO;T79WXA;T80GUN;T80R6A;T80TUC;T81I4T;T81KAJ;T82JWE;T83QKS;T83YZD;T84FSA;T84W8G;T85K8L;T85U8U;T86ROZ;T86UJG;T86UXL;T87DEX;T88AJI;T88ER9;T88LSZ;T88QQE;T88TDZ;T89L4V;T90QGN;T90XYZ;T92BZ2;T92EME;T92LK2;T92UWJ;T93SFQ;T93VFT;T93WZG;T94H37;T95GWW;T95IYZ;T95Y0K;T96L4T;T96OOK;T96ZVQ;T97FEF;T97VB6;T98JPP;T99V1T,1;5;6;8;11;16;19;32;134;240,"0.0,1.0,1.0,0.0,1.0"
头顶一颗珠,C0039;C0090;C0271,T01E8J;T01QLH;T02GD4;T03TJ0;T04H8Y;T06Q1R;T06RMZ;T06VX0;T08B2M;T08Q7W;T09H2Z;T10HL8;T10KMJ;T12T4H;T13KGH;T14AON;T16A2X;T16UZ4;T20IHC;T20JZ2;T21DZX;T21K0F;T21Q0D;T22OPB;T23P74;T23VMI;T24CYX;T25H22;T29MD1;T30VNV;T31SX8;T31VDH;T32SPJ;T33OPP;T33UEM;T36NQ9;T40G6B;T42EAZ;T42FMQ;T46AQJ;T48XM4;T49TDM;T50WOV;T54CIF;T54G8J;T59IKQ;T62F1Y;T74JJN;T76EHP;T77OVM;T79KQO;T79WXA;T80GUN;T81BH5;T82JWE;T83YZD;T85U8U;T87WYU;T88P76;T88TDZ;T92BZ2;T92X7D;T95Y0K;T97KL5;T98RXH,3;4;15;205,"1.0,0.0,0.0,0.0,0.0"
重楼,C0025;C0077;C0653,T01QLH;T05AAL;T05O6O;T08KXM;T08VHE;T13HKH;T16MRU;T23P74;T24C0P;T27M4K;T30D9G;T34X07;T36YWU;T38T1U;T43N2D;T48K08;T52ARL;T52YQN;T63BQU;T64W2K;T71K92;T72KIO;T76B0A;T84W8G;T85NRC;T85U8U;T88AJI;T88TDZ;T90SGJ;T92BZ2;T93YV8;T94AGC;T96OOK,0;1;6;16;30;60;84;165;166,"0.0,0.0,1.0,1.0,0.0"
山芝麻,C0094;C0109;C0118;C0141;C0142;C0146;C0167;C0269;C0285;C0311;C0357;C0383;C0464;C0536;C0569;C1166,T00CXT;T01HJQ;T02FO3;T06Q1R;T06RMZ;T07VV7;T08Q7W;T10AWW;T10I26;T11HTL;T11S88;T12PIB;T12T4H;T14JSX;T16A2X;T16OQ5;T16UHV;T16X77;T17CNB;T18CPB;T18MOS;T20JZ2;T20PAH;T21DZX;T22NX4;T23VMI;T23Z2G;T24F1A;T24YWQ;T25NSJ;T25RTY;T26EZU;T30D9G;T32JN2;T32R5L;T33OPP;T34HYH;T35WLZ;T36HAE;T38WWN;T39M6J;T41S16;T41Z1X;T42UFS;T43NBB;T43Y5O;T44LWL;T44S1A;T45X9Z;T46K2X;T47DIY;T47H3O;T48J1U;T49ORJ;T50V79;T50WOV;T51EKP;T51WGR;T53AOE;T56D7K;T56OUM;T56TXY;T61NZN;T64V6C;T66LSN;T67ZT3;T68WYW;T68XXK;T69NG6;T71DUF;T71K92;T71N8B;T73PLT;T73PZA;T74JJN;T74LFK;T74P7I;T75H3W;T76QBQ;T77O2V;T79WXA;T80TUC;T80WPU;T82S6C;T82S9G;T83RKS;T84W8G;T85U8U;T86J48;T88LSZ;T89GCM;T89GFN;T90XYZ;T91J2T;T92BZ2;T92HNO;T93SFQ;T93VFT;T96NMT;T97F4Y,0;4;8;11;22;45;72;121,"0.0,1.0,1.0,1.0,1.0"
穿心莲,C0073;C0156;C0199;C0285;C0287;C0455;C0485;C0513;C0549;C0661;C0899;C0914;C1203;C1231,T00CXT;T00KKS;T01E7W;T01QLH;T02IOG;T02QBS;T02WMA;T04MBA;T04TWI;T04TXM;T04UTZ;T04WT7;T05PKX;T05RAA;T06ADX;T06IYF;T06PVX;T06RMZ;T07NML;T07TMB;T07VV7;T08Q7W;T08SJX;T09H2Z;T10HL8;T10ICM;T10S5F;T11BI7;T11ZYR;T12PIB;T12WTT;T13KGH;T13WH4;T14LSK;T16UHV;T16UZ4;T17CZC;T17UP9;T18CUI;T20JZ2;T20TPU;T21DZX;T21S10;T22I6G;T22IMH;T22NX4;T22OPB;T22XGJ;T23P74;T23VMI;T24LXT;T24YWQ;T25H22;T25M2J;T25NSJ;T25S1M;T25Y64;T26EZU;T26KIE;T27LTU;T29B10;T29MD1;T30L86;T31P1D;T31U13;T32PI2;T32R5L;T33OPP;T34DZ7;T34HYH;T35LKG;T35QZO;T36SOV;T37VLU;T38BR0;T38G9K;T38J3Y;T38K2W;T38O11;T38OQ4;T39M6J;T39RV3;T40DIM;T40JZG;T40XWM;T41BXR;T41DXP;T41TXS;T42D4V;T42EAZ;T42PUG;T42XY2;T43N2D;T44LWL;T45G32;T46AQJ;T46K2X;T46YMA;T47H3O;T47HTN;T48DAP;T49ORJ;T49PL1;T49TDM;T50GQE;T50V79;T50VJF;T51EKP;T51IKV;T52RGZ;T53KRS;T54CIF;T54G8J;T54VQA;T54X6V;T55IBP;T55NB7;T56OUM;T56TXY;T57HGP;T58J2Y;T58TFI;T60B3R;T60GGR;T60UPF;T62ERY;T62P0D;T62QDU;T62UOD;T62USB;T62Y4H;T63BQU;T63GUB;T64W2K;T64X48;T65S3S;T66S13;T66WWM;T67CB6;T67LQK;T67UWO;T67ZT3;T68AKE;T68BGR;T68DAN;T68HNO;T68SE0;T69NG6;T69RXK;T70EJM;T71BDH;T71K92;T73HMK;T73LPO;T74D4Y;T74ETU;T74I49;T74JJN;T74LFK;T74QXI;T75H3W;T75HMM;T76AZQ;T76GZS;T76QBQ;T77M4W;T77TY2;T78ILO;T78IOY;T78O6C;T79KQO;T79WXA;T80GUN;T80OJF;T80TUC;T80WPU;T81I4T;T82ALJ;T82JWE;T83SXS;T83YZD;T84P70;T85AXP;T85U8U;T86MX7;T86ROZ;T86UXL;T87AXU;T87DEX;T87WMV;T88AJI;T88B8X;T88LSZ;T88TDZ;T89L4V;T90ORW;T91AIW;T91OUC;T91T8I;T92AMR;T92BZ2;T92HNO;T92UBJ;T93PLN;T93R42;T93WZG;T94VM4;T95K8Q;T96G89;T97FEF;T97KFC;T98FWP;T99XQ3,0;1;2;16;19;37;87;90,"1.0,1.0,1.0,1.0,1.0"
无花果叶,C0245,T02O3F;T05OGW;T48UT8;T52UTG;T64UH1;T67KTV;T71BDH;T73S71;T80O6V;T88AJI;T93SFQ;T95IYZ;T99EYH,2;8;20;60;161;162,"0.0,1.0,0.0,1.0,0.0"
